miRNA,Gene,Disease,Score-m-g,Score-g-d
hsa-let-7a-2-3p,BAG3,CARDIOMYOPATHY DILATED 1HH,90.98065,90.0
hsa-let-7g-3p,BAG3,CARDIOMYOPATHY DILATED 1HH,90.98065,90.0
hsa-miR-129-1-3p,BAG3,CARDIOMYOPATHY DILATED 1HH,82.9062,90.0
hsa-miR-129-2-3p,BAG3,CARDIOMYOPATHY DILATED 1HH,82.9062,90.0
hsa-miR-143-3p,BAG3,CARDIOMYOPATHY DILATED 1HH,87.3239,90.0
hsa-miR-4762-3p,BAG3,CARDIOMYOPATHY DILATED 1HH,87.4866,90.0
hsa-miR-4770,BAG3,CARDIOMYOPATHY DILATED 1HH,87.3239,90.0
hsa-miR-4797-5p,BAG3,CARDIOMYOPATHY DILATED 1HH,85.6202,90.0
hsa-miR-6088,BAG3,CARDIOMYOPATHY DILATED 1HH,82.3619,90.0
hsa-miR-646,BAG3,CARDIOMYOPATHY DILATED 1HH,93.96507,90.0
hsa-miR-6507-5p,BAG3,CARDIOMYOPATHY DILATED 1HH,85.8914,90.0
hsa-miR-656-3p,BAG3,CARDIOMYOPATHY DILATED 1HH,81.2403,90.0
hsa-miR-891b,BAG3,CARDIOMYOPATHY DILATED 1HH,97.399590461,90.0
hsa-let-7a-2-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,90.56538,94.0
hsa-let-7g-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,90.56538,94.0
hsa-miR-4531,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,91.08203,94.0
hsa-miR-4666b,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,82.1856,94.0
hsa-miR-4775,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,94.9834458912,94.0
hsa-miR-590-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,88.250688339,94.0
hsa-let-7a-2-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,91.01346,94.0
hsa-let-7g-3p,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,91.01346,94.0
hsa-miR-4531,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,91.30798,94.0
hsa-miR-4666b,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,83.0181,94.0
hsa-miR-4775,HPS1,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,95.2317640702,94.0
