Name,RO5_violations,Smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,NumRadicalElectrons,NumValenceElectrons,FP1,FP2,FP3,HeavyAtomMolWt,pIC50
CHEMBL368457,0,CC(C)(C)NCC(O)CON=C1c2ccccc2-c2ccccc21,active,324.424,3.185,2,4,0,126,0.958333333,1.458333333,1.958333333,300.232,7.42136079
CHEMBL305558,1,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-n2ncc(-c3ccc(F)cc3)n2)cc1,inactive,558.639,4.1349,3,8,0,204,0.925,1.675,2.375,531.423,4.397940009
CHEMBL4095361,1,Cc1nnc(-c2cccc(CN3CCN(C(=O)c4ccc(C[C@@H]5CC[C@H]([C@H](O)c6ccccc6)N5)cc4)CC3)n2)o1,inactive,552.679,3.79472,2,8,0,212,0.975609756,1.756097561,2.487804878,516.391,4.698970004
CHEMBL4087670,1,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2ncn(CC(F)F)n2)CC1,inactive,524.616,2.8979,2,7,0,202,1.026315789,1.763157895,2.473684211,490.344,4.698970004
CHEMBL1684581,2,O=S(=O)(Nc1ccc(CC2CC[C@@H]([C@H](O)c3ccccc3)N2)cc1)c1ccc(-c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,intermediate,649.76,7.6934,3,6,0,232,0.888888889,1.555555556,2.222222222,619.52,5.66756154
CHEMBL1085441,0,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccccc1-n1nccn1,inactive,428.496,2.7803,3,7,0,162,0.96875,1.75,2.5,404.304,5
CHEMBL1078465,0,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccccc1CCc1ccccc1,intermediate,465.597,4.9848,3,4,0,178,0.8,1.542857143,2.314285714,434.349,5.619788758
CHEMBL1084667,0,O=C(Cc1n[nH]c2ccccc12)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1,intermediate,415.497,3.0048,4,5,0,158,1.064516129,1.903225806,2.709677419,390.297,5.017728767
CHEMBL1086411,0,Cc1nnc(CC(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)[nH]1,inactive,380.452,1.55502,4,6,0,146,1.214285714,2.035714286,2.714285714,356.26,4.698970004
CHEMBL1084145,0,Cc1sc2ncn(CC(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)c(=O)c2c1C,intermediate,477.59,2.97424,3,8,0,176,1.205882353,2,2.735294118,450.374,5.443697499
CHEMBL1085694,0,O=C(CCc1nc2ccccc2[nH]1)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1,inactive,429.524,3.3949,4,5,0,164,1.03125,1.875,2.65625,402.308,4.698970004
