"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL880";"FAMCICLOVIR";"4";"321.34";"0";"0.54";"FAMCICLOVIR";"CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL891";"CLOXACILLIN";"4";"435.89";"0";"2.55";"CLOXACILLIN";"Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL1200545";"DIFLORASONE DIACETATE";"4";"494.53";"0";"2.99";"DIFLORASONE DIACETATE";"CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL42";"CLOZAPINE";"4";"326.83";"0";"3.72";"CLOZAPINE";"CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL1727";"CEPHALEXIN";"4";"347.40";"0";"0.44";"CEPHALEXIN";"CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL118";"CELECOXIB";"4";"381.38";"0";"3.51";"CELECOXIB";"Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL661";"ALPRAZOLAM";"4";"308.77";"0";"3.58";"ALPRAZOLAM";"Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL267894";"AMOBARBITAL";"4";"226.28";"0";"1.39";"AMOBARBITAL";"CCC1(CCC(C)C)C(=O)N=C(O)NC1=O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL101168";"";"0";"134.14";"0";"0.15";"1-AMINOBENZOTRIAZOLE";"Nn1nnc2ccccc21";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
"CHEMBL1909049";"";"0";"309.41";"0";"3.79";"1-(2-METHOXYBENZOYL)-4-(PHENYLMETHYL)-PIPERIDINE";"COc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909091";"DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL213";"Beta-1 adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";""
